Date,Category,Product ID,Brand Name,Opening Balance,Quantity Added,Closing Balance,Price,Quantity Sold,Total Amount,Total,Sale
2025-03-04,ColdDrinks,M20,Mineral water (1000ml),0.0,50.0,30.0,20.0,,400.0,50.0,20.0
2025-03-04,ColdDrinks,M10,Mineral water (500ml),0.0,20.0,20.0,10.0,,0.0,20.0,0.0
2025-03-04,ColdDrinks,R125,Red Bull (250ml),0.0,25.0,20.0,125.0,,625.0,25.0,5.0
2025-03-05,ColdDrinks,T50,Thums up (750ml),0.0,10.0,10.0,50.0,,0.0,10.0,0.0
2025-03-05,Snacks,S5,Snacks,10.0,10.0,14.0,5.0,,15.0,20.0,3.0
2025-03-05,Liquor,RS180,R.Stag (180ml),0.0,20.0,-2385.0,240.0,,577200.0,20.0,2405.0
2025-03-06,Snacks,S10,Snacks,10.0,0.0,-1.0,10.0,,60.0,10.0,6.0
2025-03-06,Liquor,RS180,R.Stag (180ml),15.0,0.0,-5.0,240.0,,4800.0,15.0,20.0
2025-03-06,Snacks,S20,Snacks,10.0,100.0,80.0,20.0,,600.0,110.0,30.0
2025-03-15,Liquor,NO180,No.1 (180ml),0.0,100.0,80.0,210.0,,4200.0,100.0,20.0
2025-03-15,Liquor,RS180,R.Stag (180ml),15.0,25.0,7.0,240.0,,6720.0,40.0,28.0
2025-03-15,Snacks,S5,Snacks,17.0,0.0,-4.0,5.0,,85.0,17.0,17.0
2025-03-15,Liquor,MP180,MagicP (180ml),0.0,50.0,20.0,0.0,,0.0,50.0,30.0
2025-03-16,Liquor,MP180,MagicP (180ml),20.0,0.0,10.0,0.0,,0.0,20.0,5.0
2025-03-16,Liquor,NO180,No.1 (180ml),80.0,0.0,-140.0,210.0,,33600.0,80.0,160.0
2025-03-16,Liquor,IB180,IB (180ml),0.0,30.0,15.0,210.0,,3150.0,30.0,15.0
2025-03-16,Liquor,RS180,R.Stag (180ml),22.0,0.0,8.0,240.0,,2880.0,22.0,12.0
2025-03-16,ColdDrinks,T50,Thums up (750ml),10.0,5.0,15.0,50.0,,0.0,15.0,0.0
2025-03-19,Liquor,RS180,R.Stag (180ml),10.0,0.0,0.0,240.0,,1200.0,10.0,5.0
2025-03-19,Liquor,NO180,No.1 (180ml),0.0,5.0,-20997.0,210.0,,4410420.0,5.0,21002.0
2025-03-20,Liquor,OKS180,Oksmith(S) (180ml),0.0,10.0,2.0,290.0,,2320.0,10.0,8.0
2025-03-21,Liquor,NO180,No.1 (180ml),3.0,7.0,-21415.0,210.0,,4499250.0,10.0,21425.0
2025-03-21,Liquor,RR180,R.Rum (180ml),0.0,20.0,15.0,170.0,,850.0,20.0,5.0
2025-03-25,Liquor,NO180,No.1 (180ml),5.0,0.0,-5.0,210.0,,1050.0,5.0,5.0
2025-03-25,Liquor,MP180,MagicP (180ml),15.0,0.0,5.0,250.0,,1250.0,15.0,5.0
2025-03-25,Liquor,MF180,MagicF (180ml),0.0,5.0,5.0,250.0,,0.0,5.0,0.0
2025-03-27,ColdDrinks,R125,Red Bull (250ml),20.0,10.0,-604.0,125.0,,79250.0,30.0,634.0
2025-03-27,Snacks,S20,Snacks,80.0,20.0,-508.0,20.0,,12160.0,100.0,608.0
2025-03-27,Liquor,MF180,MagicF (180ml),5.0,5.0,7.0,250.0,,750.0,10.0,3.0
2025-03-27,Liquor,MP180,MagicP (180ml),10.0,0.0,6.0,250.0,,500.0,10.0,2.0
2025-03-27,Snacks,S25,Snacks,30.0,0.0,20.0,25.0,,125.0,30.0,5.0
2025-03-30,Liquor,IB180,IB (180ml),15.0,0.0,0.0,210.0,,1050.0,15.0,5.0
2025-03-31,Snacks,S20,Snacks,92.0,10.0,10.0,20.0,,52000.0,102.0,2600.0
2025-04-07,Liquor,MP180,MagicP (180ml),1.0,0.0,0.0,250.0,,250.0,1.0,1.0
